curpcajero,idsucursal,nombrecajero,paternocajero,maternocajero,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
IEHH454516SPKBDC36,S-00006,Pietrek,Kilborn,McNeish,1996-09-14,Baja California,Tijuana,Tijuana,Aberg,1,28681
LQZP312708JTPKPT25,S-00006,Dalila,Fitzpayn,Dee,1982-01-29,Baja California,Tijuana,Tijuana,Oneill,45670,75253
NRXJ189009SOZDBC80,S-00005,Carolynn,Orchard,Booton,2001-10-09,Nuevo Leon,Pesqueria,Pesqueria,Lighthouse Bay,608,86428
KECD590600ZDUIEW34,S-00012,Barney,Fitzackerley,Payler,1976-10-28,Morelos,Cuernavaca,Cuernavaca,Mosinee,30,52956
FUPY116908QOHFGV06,S-00010,Reba,Pellett,Cumpsty,1981-10-15,Guerrero,Copala,Copala,Warbler,31,36628
LBST974926XSJBQE74,S-00005,Ody,Dadswell,Test,1985-04-11,Nuevo Leon,Pesqueria,Pesqueria,Blaine,0525,40633
QMPL042537HBUOTH36,S-00010,Harlie,Toulson,Quennell,1980-03-27,Guerrero,Copala,Copala,Crescent Oaks,0696,32563
IDPG110720LJVDDT93,S-00008,Inness,Hache,Braiden,1994-01-15,Oaxaca,El Espinal,El Espinal,Scoville,930,89535
RENJ149573ARJQLC53,S-00006,Evy,Ferrarone,Yankishin,2003-05-06,Baja California,Tijuana,Tijuana,Monica,328,81076
GGPZ131190UEAEOG27,S-00008,Janine,Lotte,Covell,1987-09-22,Oaxaca,El Espinal,El Espinal,Pond,40077,91975
YSAE745178SNRHXC25,S-00002,Kirbee,Burbidge,Larwell,1999-04-10,Aguascalientes,Palo Alto,Palo Alto,Ridgeview,1,42168
BXIA323029ACRLDR91,S-00011,Shayla,Twigley,Kabsch,1994-11-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Loomis,9,32405
PZXZ238739RIBIPZ15,S-00015,Franni,Hursthouse,Assante,1998-03-25,Hidalgo,Pachuca de Soto,Pachuca de Soto,Spohn,70,38693
HXBC893267MSQIEY06,S-00009,Basile,Tregona,Ravenhills,1977-05-12,Chihuahua,Juan Aldama,Juan Aldama,Esker,488,63671
GUVY416925KSKPAW47,S-00007,Pierette,Roj,Coye,2008-08-09,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Pepper Wood,009,17442
WAGK502461JHUXDL88,S-00014,Gwendolin,Camblin,Theodoris,1990-02-16,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Delaware,89432,25015
UEXK767930GOXLPG71,S-00001,Conant,Torres,Schankel,1978-04-30,Distrito Federal,N/A,Churubusco,Di Loreto,502,30277
ZWQS883576YHKMEQ73,S-00001,Stevy,Prando,Colten,2002-11-09,Distrito Federal,N/A,Churubusco,Jenifer,93851,71636
FRNL014210FDSNEH08,S-00003,Terry,Meenan,Riggert,1984-02-12,Queretaro,Peñamiller,Peñamiller,Sunnyside,7,24575
GGXL992079CUZBSD81,S-00005,Brock,Laxton,Wollard,1982-04-24,Nuevo Leon,Pesqueria,Pesqueria,Hintze,6639,47564
UOXN396728RUSFTN38,S-00011,Berty,Chidwick,Powlett,1994-10-04,Coahuila de Zaragoza,Lamadrid,Lamadrid,Russell,57,20600
NMLE204510MLHBWF25,S-00015,Jillian,Dole,Descroix,2001-09-13,Hidalgo,Pachuca de Soto,Pachuca de Soto,Namekagon,2,69267
BOTW273210SYJIOS44,S-00013,Bay,Dansey,Lemary,1986-05-15,Campeche,Champoton,Champoton,Dorton,65,44853
HGRA092886LCFXYO09,S-00010,Valery,Gullivent,Orlton,1987-04-24,Guerrero,Copala,Copala,Kensington,8,77538
SXVX749852IUSMVX22,S-00013,Cart,Stukings,Broadfield,1997-09-27,Campeche,Champoton,Champoton,Mallard,0200,86206
RPUX728209AWUZGJ61,S-00002,Winslow,Wilkerson,Wroughton,1998-03-29,Aguascalientes,Palo Alto,Palo Alto,Arkansas,6149,66449
IJFC062141ONAGGI85,S-00006,Marga,Chaplain,Toone,2004-05-08,Baja California,Tijuana,Tijuana,Darwin,187,72711
ZICH983116FLLAUG54,S-00004,Marysa,Urvoy,Cornil,1993-09-29,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Hoffman,297,26624
IHHM762321NKEKOR03,S-00004,Caron,Seivwright,Dinan,1977-12-22,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Hazelcrest,0975,20262
VCWN197579LMQCKJ11,S-00014,Dex,Salliere,Ruilton,1995-11-16,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Reindahl,11820,49606
HLVN978714UKOEGI64,S-00006,Kristy,Arlet,Gettings,1998-05-27,Baja California,Tijuana,Tijuana,Mendota,42432,22200
JOLD839753NOTPIZ85,S-00010,Herve,Crumpton,Agett,1989-02-13,Guerrero,Copala,Copala,Hooker,0,36519
OCFW373131TJLMHZ28,S-00013,Torey,Roff,Pitchford,2000-04-28,Campeche,Champoton,Champoton,Vidon,6,53331
ENQG155920EZICRE79,S-00012,Oren,Hryncewicz,D'Ambrosio,1994-06-04,Morelos,Cuernavaca,Cuernavaca,International,46,88817
AWNL703702BTMCKB54,S-00006,Rab,Feechan,Ambrogioni,2001-01-08,Baja California,Tijuana,Tijuana,Pawling,41,22676
DXWX210232JZUYIH44,S-00012,Elise,Garnson,Lyddyard,2006-06-02,Morelos,Cuernavaca,Cuernavaca,Stone Corner,7,70485
OKKB286073UZAMFK74,S-00009,Jillayne,Haws,Munford,2003-11-26,Chihuahua,Juan Aldama,Juan Aldama,Shelley,49598,56258
GZKE720283QDGDXV23,S-00015,Vonni,Tossell,Addington,1999-11-27,Hidalgo,Pachuca de Soto,Pachuca de Soto,Delladonna,6736,99363
VVBG007983TOGTXA77,S-00008,Linnet,Rivel,Paynton,1993-01-10,Oaxaca,El Espinal,El Espinal,Florence,0,86896
ERQU292174CRWAOY87,S-00002,Ruthann,Asman,Jiggen,1999-07-31,Aguascalientes,Palo Alto,Palo Alto,Lotheville,40,61368
PUHV070576APWCQI96,S-00015,Inna,O'Flynn,Mead,1995-07-30,Hidalgo,Pachuca de Soto,Pachuca de Soto,Del Sol,3,33151
QFBT577658JXNDJP60,S-00006,Rozella,Oakley,Aireton,2006-12-30,Baja California,Tijuana,Tijuana,Cottonwood,754,22744
BGVU099479SIPMJA68,S-00014,Kale,Lovart,Tourville,1979-05-19,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Hauk,566,58799
DDAF635025BZUBLP48,S-00008,Tabina,Traylen,Blackmore,1983-11-26,Oaxaca,El Espinal,El Espinal,Marcy,15,23999
QLAW206275YJDAXO29,S-00010,Bent,Oattes,Stebbin,1991-01-30,Guerrero,Copala,Copala,East,78,26887
ODHF755175PHMWMH67,S-00006,Elli,Dudenie,German,1985-03-31,Baja California,Tijuana,Tijuana,Kenwood,04,19373
UXUL907812BUMBUQ82,S-00001,Marena,Calloway,Crisell,1981-09-18,Distrito Federal,N/A,Churubusco,Kingsford,30,84421
NDVT746725GSQIJI03,S-00010,Noland,Boscher,Brinkler,1984-12-09,Guerrero,Copala,Copala,Leroy,27,60195
LMMX506474LNLUGC09,S-00007,Kendra,Birkmyr,Robertis,1997-12-30,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Trailsway,8,86825
ZPZK502947LUIZCL61,S-00006,Costa,Di Antonio,Petrolli,1986-05-28,Baja California,Tijuana,Tijuana,Talisman,66581,69123
KCYT661952ZUNFZP93,S-00012,Cad,Pund,Allderidge,1987-12-10,Morelos,Cuernavaca,Cuernavaca,Sutherland,941,83828
YKKQ597185HKGGSS58,S-00005,Basia,Pittway,Sailor,1978-02-28,Nuevo Leon,Pesqueria,Pesqueria,Marquette,01288,53798
WAJB083601PCIMWP23,S-00010,Archer,Geroldo,MacSporran,1983-01-29,Guerrero,Copala,Copala,Hazelcrest,0188,73814
NLCK829431HAWXET73,S-00013,Cyndy,Wilbore,Champion,1995-11-09,Campeche,Champoton,Champoton,Fairfield,34375,72427
TBRK471248RRAUHR37,S-00013,Cortie,Louch,Dickie,2010-05-22,Campeche,Champoton,Champoton,Schurz,380,50313
SLIB807117NOFZFH58,S-00008,Bebe,Jaslem,Troni,2002-11-09,Oaxaca,El Espinal,El Espinal,Marquette,408,39632
WJEW800640ACHDKU73,S-00007,Elwira,Nana,Fearby,1999-08-15,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Hoffman,50,76556
ULTP190454BCTXAZ88,S-00005,Cale,Bottrill,Smoote,2010-04-21,Nuevo Leon,Pesqueria,Pesqueria,Scott,92,88483
ZWAJ727881STVUMJ37,S-00009,Beau,Putnam,Farman,1988-04-23,Chihuahua,Juan Aldama,Juan Aldama,Sunnyside,4,86727
IVWW286891IVXWDL21,S-00014,Carce,Reece,Culbard,1982-04-09,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Killdeer,12312,13283
CHPM353682UEFXQF47,S-00009,Jesselyn,Hoppner,Vickars,1998-04-22,Chihuahua,Juan Aldama,Juan Aldama,Buhler,100,57309
KTWJ846977NWREYG68,S-00002,Lesley,Bernard,Foulds,2003-08-15,Aguascalientes,Palo Alto,Palo Alto,Schlimgen,2,12276
KBUC670308FHNIHK02,S-00002,Zebulen,Sheasby,Headington,1987-04-01,Aguascalientes,Palo Alto,Palo Alto,East,77292,10315
PKYO182384GUJYTW88,S-00004,Delmer,Lippiello,Burdett,1984-02-29,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Melvin,97,28616
QVWX865434GNDHGH72,S-00002,Rafa,Luxmoore,Salerno,1980-12-21,Aguascalientes,Palo Alto,Palo Alto,Surrey,63723,55165
LLIC314473BWGJDI73,S-00008,Abbe,Guillet,Zarfat,2000-12-23,Oaxaca,El Espinal,El Espinal,Texas,36874,41122
BCAT916022MPPZWI33,S-00015,Boycie,Oleszcuk,Iacoviello,2008-09-01,Hidalgo,Pachuca de Soto,Pachuca de Soto,Sauthoff,786,68803
ZXAB908153ENUFHX54,S-00015,Fredek,Klewi,Rubertis,2005-12-30,Hidalgo,Pachuca de Soto,Pachuca de Soto,Express,6479,93981
DAYN653887EBWXWB71,S-00005,Aubry,Giamitti,Pickle,1978-07-02,Nuevo Leon,Pesqueria,Pesqueria,Forster,3,42779
BTAX697061WJUXYQ80,S-00004,Wald,Noel,De Blasiis,2002-12-26,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Loeprich,8,72220
PLKE164495RBXJPK28,S-00003,Lois,Harms,Nix,1987-01-11,Queretaro,Peñamiller,Peñamiller,Becker,16410,91510
ZKVS632830FNRKSW93,S-00012,Elizabeth,Jahnke,Tomsu,1998-02-24,Morelos,Cuernavaca,Cuernavaca,Di Loreto,57809,18153
ZBAK632311YTWPRC29,S-00006,Harrie,Rayner,Hartop,1990-07-23,Baja California,Tijuana,Tijuana,Ruskin,1,93705
QPMB607171AYYMCD78,S-00007,Verne,Bromell,Beauchamp,1975-08-13,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Northwestern,28,85280
MFMP016947YTPGGZ53,S-00002,Evin,Field,Levens,2000-06-08,Aguascalientes,Palo Alto,Palo Alto,New Castle,71598,79644
IUPV818826WSBUAL92,S-00003,Gale,Lefwich,Shawe,1988-03-16,Queretaro,Peñamiller,Peñamiller,Bartelt,46,71536
IMRR186061MXIZFQ66,S-00015,Terri-jo,Storrs,Pidon,1980-01-26,Hidalgo,Pachuca de Soto,Pachuca de Soto,Beilfuss,91,86796
NFSQ130386LBRZBG93,S-00005,Antonella,De Vaar,Dobbyn,1992-10-18,Nuevo Leon,Pesqueria,Pesqueria,Huxley,70,94125
VQCL910176NSAEND19,S-00003,Shurwood,Elflain,Keynd,2004-11-28,Queretaro,Peñamiller,Peñamiller,Lien,5577,22587
BOPM921912VUUWYP47,S-00014,Aile,Hovert,Profit,2002-04-25,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,7th,7,51162
OOSC374006TVCAUK58,S-00011,Anderson,Domoney,Henningham,2002-12-08,Coahuila de Zaragoza,Lamadrid,Lamadrid,Fairfield,9,38710
PZBH617571HJCAKB34,S-00009,Rodge,Bryde,Streeton,1984-02-08,Chihuahua,Juan Aldama,Juan Aldama,Northland,7,15896
OGMK334897MOXLQM13,S-00015,Yelena,Tamsett,Zapata,1988-03-08,Hidalgo,Pachuca de Soto,Pachuca de Soto,Waxwing,3449,65876
GQAI760456ESRNED01,S-00005,Tammi,Sone,Cozzi,1982-09-07,Nuevo Leon,Pesqueria,Pesqueria,Dorton,59574,53817
LMPI308006FRINJV60,S-00005,Tabbitha,Wipper,Espadero,1991-02-10,Nuevo Leon,Pesqueria,Pesqueria,Reinke,8832,15115
WEER824413SZISBZ99,S-00011,Ginger,Blood,Henzer,1995-05-29,Coahuila de Zaragoza,Lamadrid,Lamadrid,East,396,40277
ZPVS473451MBTVZU77,S-00004,Mortie,Petty,Riolfi,1995-05-22,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Esker,448,78198
ORWM297228IROKLL95,S-00004,Marylin,Ragate,Aleso,1976-06-06,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Green Ridge,57625,27173
LYMW190541NOCQMR49,S-00002,Husain,Stenson,Landman,1993-07-25,Aguascalientes,Palo Alto,Palo Alto,Jay,9,17418
NIWB656413YIVIMM84,S-00012,Forest,Wadge,Rubinek,1982-01-21,Morelos,Cuernavaca,Cuernavaca,Northfield,41,59054
OCEF188421WNTHDI50,S-00004,Phelia,Whilde,Rentenbeck,2005-12-18,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Linden,523,99046
VFPX009657VOXMYD48,S-00009,Elizabet,Nason,McTurlough,1991-01-03,Chihuahua,Juan Aldama,Juan Aldama,Declaration,7,21837
NMBE993686RVRFHW55,S-00009,Mohandis,Bosward,Cuchey,1998-11-25,Chihuahua,Juan Aldama,Juan Aldama,Stone Corner,941,51182
TDME013667VHINFQ29,S-00012,Donetta,Channing,Domange,2006-08-02,Morelos,Cuernavaca,Cuernavaca,Barby,2652,54514
LSDA820091HJJEZT76,S-00005,Emmaline,Caple,MacHostie,2004-06-15,Nuevo Leon,Pesqueria,Pesqueria,Clemons,95359,32746
YQAS442545AATNKM10,S-00002,Ginni,Scrannage,Caddock,1996-01-10,Aguascalientes,Palo Alto,Palo Alto,Ridge Oak,7076,23967
BIXL622851THYPEM02,S-00011,Dania,Seller,Cheeseman,1992-08-30,Coahuila de Zaragoza,Lamadrid,Lamadrid,Pawling,86125,60719
XZAW001874JNUHUK10,S-00011,Virginie,Aldersley,Priestland,2003-05-13,Coahuila de Zaragoza,Lamadrid,Lamadrid,Victoria,562,66966
YNVB873465QPUNOO09,S-00009,Berty,Irwin,Alexsandrov,1977-11-07,Chihuahua,Juan Aldama,Juan Aldama,Porter,39,88449
SKPS886755JINTBU89,S-00005,Malanie,Hassekl,Rizzardini,1990-09-30,Nuevo Leon,Pesqueria,Pesqueria,Harper,64,78899
DTHE685631OZAYEG23,S-00013,Bernard,Swindlehurst,Witts,1985-12-18,Campeche,Champoton,Champoton,Lillian,87436,38537
BWYR311731VQEAJU91,S-00012,Herminia,Venning,Mara,1988-03-13,Morelos,Cuernavaca,Cuernavaca,Eagle Crest,6,24208
UZEK070775DTKZSB56,S-00003,Krystal,Hissie,Baldock,1992-04-25,Queretaro,Peñamiller,Peñamiller,Stuart,8886,51795
QMSV888549QAVCUJ01,S-00009,Ardenia,Kilbride,Coverley,1993-01-06,Chihuahua,Juan Aldama,Juan Aldama,Hauk,321,61732
EKNT936692AHLRMA99,S-00011,Agnese,Perview,Penberthy,2008-04-19,Coahuila de Zaragoza,Lamadrid,Lamadrid,Almo,182,11063
PCXJ189437NGSQVH32,S-00011,Georgine,Standell,Ickovitz,2003-01-22,Coahuila de Zaragoza,Lamadrid,Lamadrid,Gerald,22,40654
YUSF543691TCPLTH83,S-00004,Roseann,Shier,O'Halleghane,2006-06-03,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Corscot,49,70310
XVGB369682IDIONC27,S-00010,Brian,Lober,Conroy,1996-09-09,Guerrero,Copala,Copala,Graceland,63779,15821
BPDF746352BSYMDV07,S-00001,Matelda,Laible,MacNeilly,2005-01-18,Distrito Federal,N/A,Churubusco,Sunbrook,74627,71988
EQFY205446CYXJCW43,S-00012,Calvin,Laker,Gariff,1999-04-16,Morelos,Cuernavaca,Cuernavaca,Farmco,12545,64871
ENMB681949IGMOES18,S-00010,Krystle,Rushbury,MacPharlain,2006-04-01,Guerrero,Copala,Copala,Rusk,13,98005
CCPX773939HDSYII53,S-00010,Tyrus,Wooffitt,Corstorphine,2004-05-01,Guerrero,Copala,Copala,Holmberg,532,92215
EXFE778776SCTIRM12,S-00013,Lauralee,Hubback,Meek,1985-05-10,Campeche,Champoton,Champoton,Maple,18296,44905
UDTR971679THEHWC23,S-00013,Jewelle,Spittall,Yakubovics,1995-12-22,Campeche,Champoton,Champoton,Pepper Wood,8,96903
SYGW617063WZHSMM78,S-00009,Bethany,Falconar,McGrotty,1998-02-25,Chihuahua,Juan Aldama,Juan Aldama,Novick,0,95067
DTUA035206RRLHRF86,S-00003,Hestia,Chiddy,Lubomirski,1985-04-25,Queretaro,Peñamiller,Peñamiller,Westend,7346,69125
OGSP252877GBTMSW53,S-00007,Vitia,Zanotti,Durtnell,1975-10-26,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Karstens,1,48635
DXBL727157RJAALO36,S-00008,Glen,Luciani,Byrch,1997-06-30,Oaxaca,El Espinal,El Espinal,Bowman,24,32055
HTIZ289437VDBOLN24,S-00002,Emmy,Hollibone,Lackie,2000-12-01,Aguascalientes,Palo Alto,Palo Alto,Arrowood,22,92780
FKOT176775GTSZHX74,S-00008,Brandice,Storrs,Buffey,1990-01-28,Oaxaca,El Espinal,El Espinal,Sheridan,179,69759
FAZD893513SNESEN41,S-00011,Zena,Goodfellowe,Edlyne,1988-05-24,Coahuila de Zaragoza,Lamadrid,Lamadrid,Lakewood,759,59545
CRXB716672CSNKOB61,S-00013,Alisha,Chevalier,Hindge,1996-02-13,Campeche,Champoton,Champoton,Nancy,03,10588
MNUQ410660SFIVII12,S-00009,Frants,Ullyott,Gyenes,1985-05-28,Chihuahua,Juan Aldama,Juan Aldama,Graceland,07284,51998
WJBI626993KCMDAB80,S-00010,Lannie,Dobson,Daldan,1993-08-17,Guerrero,Copala,Copala,Farmco,7,31091
XHXU010234CBFVAS99,S-00013,Jayme,Huguet,Rawll,1992-01-25,Campeche,Champoton,Champoton,Prairieview,25162,92484
VIGS996667PFAUFB20,S-00005,Caldwell,Fullom,Whittaker,1981-07-03,Nuevo Leon,Pesqueria,Pesqueria,Elka,56,44246
KQEQ844500ONKXCU60,S-00004,Nicolas,Labbe,Vigors,2004-05-27,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Susan,922,65054
PKVG867039ANCLQG12,S-00014,Brandy,Champ,Myhill,1992-05-10,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Arrowood,5321,96941
NTDF554078EVVOGE21,S-00012,Alvie,Kidstone,Bushell,2000-12-15,Morelos,Cuernavaca,Cuernavaca,Reinke,9,71301
VYDS648063KVZXVI67,S-00014,Micki,Niesing,Rottcher,2000-12-13,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Susan,371,27297
YRBD617465AAMGQC72,S-00011,Chen,O'Loughane,Styan,1991-09-14,Coahuila de Zaragoza,Lamadrid,Lamadrid,Valley Edge,36020,18362
YZRC963694ZUDYLL60,S-00006,Hildy,Dahlback,Dulson,1990-06-20,Baja California,Tijuana,Tijuana,Canary,161,76679
WZKY773258HNUPOY32,S-00014,Uriel,Loffel,Brychan,2005-05-20,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Packers,377,24838
AFXP187754ACYWEZ09,S-00015,Lawry,Levinge,Akeherst,1986-09-01,Hidalgo,Pachuca de Soto,Pachuca de Soto,Talmadge,1,51004
BIJU391615ZAGPPR94,S-00004,Obidiah,Kibel,Gallop,1980-07-09,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Butternut,89,17753
IVTN722384TZSEDG58,S-00007,Edik,Goffe,Sparrowe,2005-08-19,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,4th,169,60459
WFKA282032GDGBOP93,S-00013,Bar,Evett,Lickess,2008-12-25,Campeche,Champoton,Champoton,Elmside,30673,21742
DNAA654048AWBOWV90,S-00008,Syd,Wimlet,Trenbey,1997-01-28,Oaxaca,El Espinal,El Espinal,Lawn,11,11575
UKRD098486TUQXIP11,S-00007,Merrile,St Angel,Delleschi,1980-11-08,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Oneill,131,29646
RNMV732861EXQNXN73,S-00002,Welch,Kopman,Thorneloe,2001-02-08,Aguascalientes,Palo Alto,Palo Alto,Katie,0,10290
ENGR227559DTZQIH64,S-00013,Buddie,Stollenberg,Gallaccio,2002-10-10,Campeche,Champoton,Champoton,Becker,47,23387
TWPY033839PAJQXX96,S-00015,Gussy,Mundell,Bril,1985-01-22,Hidalgo,Pachuca de Soto,Pachuca de Soto,Texas,5,47495
QQHK134422KHGYMT30,S-00010,Lyda,Whillock,Summergill,1991-10-21,Guerrero,Copala,Copala,Nevada,252,74706
XJYB275699JBEZHO91,S-00014,Cristian,Roan,Worledge,1984-11-15,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Meadow Valley,7,46470
WFKO186559ZFJTQI30,S-00004,Heindrick,Nilles,Detoc,1998-06-22,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Spaight,05,77848
KLHG480870OLKONE34,S-00006,Tabby,Pretley,Greenrodd,1982-09-07,Baja California,Tijuana,Tijuana,Burrows,01467,24105
HMFD186190XPAPNL34,S-00009,Porty,Enbury,Lowerson,1988-01-15,Chihuahua,Juan Aldama,Juan Aldama,Golf,5609,89146
NMMG097900DHPGTS70,S-00007,Iosep,De Miranda,Blackborough,2003-04-17,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Almo,2883,69542
HCHT314666TAJBIC69,S-00004,Britt,Poulgreen,Potzold,2007-01-03,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Fulton,3443,18359
QQBE167542PDEXES08,S-00012,Gray,Meysham,Brackley,1978-09-14,Morelos,Cuernavaca,Cuernavaca,Golden Leaf,4,35715
XGHQ055376ALMDVK85,S-00006,Edwina,Mayoh,Dockray,2010-01-01,Baja California,Tijuana,Tijuana,Alpine,08130,89670
FWTA967705WBOESH07,S-00001,Gladys,Kennaway,Biasioni,1989-04-26,Distrito Federal,N/A,Churubusco,Oak,97,99916
IGSB908638AGRCOG73,S-00015,Anton,Greves,Ruffle,2007-06-20,Hidalgo,Pachuca de Soto,Pachuca de Soto,Washington,523,34891
BUFI241710NGXYKN57,S-00015,Paton,De Maine,Bream,1987-04-22,Hidalgo,Pachuca de Soto,Pachuca de Soto,Melrose,6902,71683
QZLG430795YHVPGO99,S-00008,Minerva,Theunissen,Trevillion,2003-06-25,Oaxaca,El Espinal,El Espinal,Ryan,449,95432
EQZH763417QUMBJV73,S-00013,Marie-jeanne,Winpenny,Shermore,1981-05-06,Campeche,Champoton,Champoton,Parkside,6654,54824
NYPG608446MURUOU93,S-00005,Tatum,Morriarty,Kiss,1983-08-09,Nuevo Leon,Pesqueria,Pesqueria,Porter,41043,82942
DFCO271631NOICIQ79,S-00003,Revkah,Grundle,Mallam,2010-03-22,Queretaro,Peñamiller,Peñamiller,4th,311,65465
SQFK134827PDKOCV37,S-00001,Shannen,Rohmer,Gianullo,1977-03-19,Distrito Federal,N/A,Churubusco,Knutson,127,96235
HKWG339504UPKBTG91,S-00002,Lindi,Sergeaunt,Spracklin,2006-06-03,Aguascalientes,Palo Alto,Palo Alto,High Crossing,002,79044
OJQZ248131FRZMTE46,S-00003,Carey,Etchell,Bartlosz,1988-04-19,Queretaro,Peñamiller,Peñamiller,Lawn,8,54348
QBIQ092464CXQRYC42,S-00013,Jarrett,Salman,Hildrew,1994-02-02,Campeche,Champoton,Champoton,Scoville,90,19641
PEQO863580TAIHJD10,S-00002,Bonita,Cavy,Storer,1999-10-06,Aguascalientes,Palo Alto,Palo Alto,Menomonie,0775,73930
MRQI909923VOIYQG93,S-00008,Dilan,Harpur,Beckhouse,1977-12-12,Oaxaca,El Espinal,El Espinal,Clarendon,70349,29646
YMXP173442NGLZMM38,S-00001,Harrietta,Mylan,Lacasa,2008-12-09,Distrito Federal,N/A,Churubusco,Lukken,1,84085
OMKY295443KBAHHM10,S-00005,Boniface,Danett,Itter,2007-05-09,Nuevo Leon,Pesqueria,Pesqueria,American Ash,6,88668
WODR377322QTQCGH76,S-00013,Marrilee,Yurchenko,Benny,1979-06-26,Campeche,Champoton,Champoton,Nevada,862,57930
LOPL313342TYSTIS12,S-00006,Humfrid,Bascombe,Wigsell,1988-01-01,Baja California,Tijuana,Tijuana,Armistice,213,43935
MZQL596527QTPXTG91,S-00004,Moll,Clelle,Little,2004-07-27,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Goodland,395,71927
EAFN870410DRSGRV00,S-00014,Sharlene,Morl,Darycott,2002-07-05,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Anthes,527,94023
PJVW302856QECDFU70,S-00015,Hester,Lyle,McGurk,2000-09-18,Hidalgo,Pachuca de Soto,Pachuca de Soto,Hintze,6215,60656
ZKHH192821KKBVQW51,S-00003,Lenna,Crocker,Chasteney,2009-07-26,Queretaro,Peñamiller,Peñamiller,Evergreen,51264,14527
IRQS165279DDMELF83,S-00010,Valli,Salvadore,Pinckney,1978-08-24,Guerrero,Copala,Copala,Haas,3292,21526
HKDE498168HWOJNI10,S-00007,Dieter,Sloane,Romanelli,1976-02-14,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Swallow,07,97087
WCIF039481OPXMVG41,S-00007,Benita,Dutch,Hoyt,2007-04-07,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Bay,0,37847
XTKO662023VOTELK44,S-00001,Eliot,Starten,Kynston,1987-04-22,Distrito Federal,N/A,Churubusco,Eggendart,75,26533
PQXU064898FQEVZQ64,S-00009,Benny,Sertin,Boich,1995-06-19,Chihuahua,Juan Aldama,Juan Aldama,Ruskin,0,86909
XNJI824831DVBMED33,S-00013,Jabez,Pau,Konneke,1978-02-21,Campeche,Champoton,Champoton,Glacier Hill,7526,53465
QLVY338032DJPTEO69,S-00002,Wit,Dunthorne,Cradick,1984-11-30,Aguascalientes,Palo Alto,Palo Alto,Moulton,34603,89863
WKJY666978IKOAMU93,S-00001,Hazel,Zmitruk,Keer,1997-03-15,Distrito Federal,N/A,Churubusco,Annamark,78,95565
LRMU190374DLEPBU38,S-00007,Arman,Karet,Laxton,2004-11-09,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Forest,0,46720
TDHO675610ETLXNK07,S-00009,Glendon,Aberhart,Woolham,1987-03-21,Chihuahua,Juan Aldama,Juan Aldama,Springview,4566,15965
UIEF372425QIIFRN35,S-00010,Jamison,Antrum,Wheeldon,1987-11-16,Guerrero,Copala,Copala,Carberry,14868,95517
YWHT146199NQMUOT09,S-00007,Jareb,Parkman,Garrett,1985-08-06,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,7th,43,12244
YMHY959722IZFJJP07,S-00015,Vaclav,Braunle,Clemintoni,1989-09-14,Hidalgo,Pachuca de Soto,Pachuca de Soto,Brickson Park,786,28361
MREP487160HNPXJV75,S-00010,Herta,Gisburne,Nelthrop,2000-07-03,Guerrero,Copala,Copala,Pierstorff,958,32974
OOLW646801XOHVDR16,S-00007,Natassia,Noe,Clewlowe,1981-04-22,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Melody,790,93194
