curpgerente,idsucursal,nombregerente,paternogerente,maternogerente,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
RMPW602760KALXBR44,S-00005,Marisa,Node,Millan,1978-08-18,Nuevo Leon,Pesqueria,Pesqueria,Knutson,235,68684
YDGN984653NIHXNU65,S-00008,Guglielmo,Campany,Kennaird,1972-09-26,Oaxaca,El Espinal,El Espinal,Luster,027,28877
BKJM432944UPUPNP17,S-00007,Hoyt,Duprey,Cudby,1971-03-13,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Coolidge,135,81856
UVQH386191LHVLYB34,S-00014,Winifield,Bentham3,Kundert,1985-12-17,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Clove,897,81282
DXYI907958QRIVMC31,S-00001,Blondy,Wentworth,Dallemore,1973-11-02,Distrito Federal,N/A,Churubusco,Bay,483,23388
XAMI680769HWCFFH43,S-00009,Vivianna,Webb,Chidler,1991-06-26,Chihuahua,Juan Aldama,Juan Aldama,Little Fleur,337,24297
KGYJ667170KUMZRR54,S-00002,Delphine,Linford,Labbati,1989-03-30,Aguascalientes,Palo Alto,Palo Alto,Butternut,197,40048
NGMV659967LIMMUJ16,S-00015,Alla,Hempshall,Guice,1983-07-19,Hidalgo,Pachuca de Soto,Pachuca de Soto,Macpherson,498,16975
YTCE872553BZOPQF34,S-00007,Leicester,Roget,Hartle,1974-06-08,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Sutteridge,262,47612
OTAY744412TWNRLV56,S-00014,Rasla,MacMychem,Zelner,1999-12-11,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Susan,129,73908
VGOH464175KQBSJG17,S-00007,Horace,Zolini,Domonkos,1990-06-22,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Havey,731,03509
OZFG908213NZDLOE00,S-00006,Stanton,Gabriely,McClarence,1988-09-01,Baja California,Tijuana,Tijuana,Bluejay,630,87383
EPBP661401BQVDNE80,S-00010,Eldredge,Ugoni,Sapseed,1977-10-02,Guerrero,Copala,Copala,Basil,620,99327
GEJD882436FXSSJH84,S-00004,Becky,Dunniom,Roome,1998-05-26,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Park Meadow,512,25254
KEFK712468GBQVVR43,S-00003,Sergei,Laterza,Minall,1993-11-14,Queretaro,Peñamiller,Peñamiller,Sundown,280,60711
YDJC935081KNBNIK30,S-00013,Dukie,Bernardino,Bates,1986-07-19,Campeche,Champoton,Champoton,Leroy,357,83452
UZIU462139THZPUJ57,S-00001,Mellie,Lubomirski,Vedenisov,1991-11-14,Distrito Federal,N/A,Churubusco,Killdeer,068,17862
EGEH957729GVEHBN81,S-00003,Ber,Fairburn,Eckhard,1978-02-19,Queretaro,Peñamiller,Peñamiller,Spenser,827,27574
GIIB206808JATIXA92,S-00006,Nevile,Lincoln,Ceschi,1981-10-21,Baja California,Tijuana,Tijuana,Portage,296,45898
CWKK085119JNCAWD42,S-00006,Norina,Lethby,Yarnton,1981-07-30,Baja California,Tijuana,Tijuana,Arrowood,629,49046
QQLW854542QAXLXK44,S-00006,Rafe,Mosedale,Chopy,1985-01-23,Baja California,Tijuana,Tijuana,Roxbury,481,51242
DNKP467696ELLYKE93,S-00001,Ricky,Goodliffe,Tann,1999-04-24,Distrito Federal,N/A,Churubusco,Stuart,449,40849
XDCS936695MPWMNP60,S-00008,Tomaso,Hutton,Howard,1997-09-25,Oaxaca,El Espinal,El Espinal,Brickson Park,677,91380
FQZK997877ASXMDH58,S-00015,Derk,Hamshere,Smallpeice,1983-09-21,Hidalgo,Pachuca de Soto,Pachuca de Soto,Elka,370,69082
CNIT663659HRMZEU71,S-00004,Clovis,Leupoldt,Langdale,1974-11-06,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Calypso,005,91311
UDOR504531ZOHJAM69,S-00012,Katrine,O'Hartigan,Kneafsey,1975-09-03,Morelos,Cuernavaca,Cuernavaca,Buhler,600,94269
FLZN066078JLWPCN69,S-00006,Kylila,Pohling,Kabisch,1997-10-29,Baja California,Tijuana,Tijuana,Mendota,904,42686
MISB076285JAZEFW69,S-00011,Emmaline,McEvon,Dillow,1991-10-13,Coahuila de Zaragoza,Lamadrid,Lamadrid,Veith,688,12923
JVZA137357OXSLHR48,S-00006,Blithe,Paviour,Tucknott,1975-02-06,Baja California,Tijuana,Tijuana,Sugar,912,67343
CZAC694702NMHUNA94,S-00009,Fannie,Kemish,Giacomozzo,1987-05-11,Chihuahua,Juan Aldama,Juan Aldama,La Follette,020,68287
KTUW938387GUHOPB12,S-00006,Robena,Sharphouse,End,1975-04-11,Baja California,Tijuana,Tijuana,Sachtjen,284,05506
TTOL996266GXDQDC58,S-00013,Netta,Cubbini,Ewdale,1983-03-20,Campeche,Champoton,Champoton,Superior,276,91425
SOIQ010904TTVHOL14,S-00005,Sisely,Dancy,Fiddymont,1984-06-18,Nuevo Leon,Pesqueria,Pesqueria,Holmberg,504,07696
MYOB996669QLPGCN52,S-00004,Darrell,Fewell,Lowthian,1975-12-21,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Dwight,233,27032
PFOU955399GMHDPL62,S-00004,Ardra,Brockelsby,Coal,1979-06-29,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Oakridge,743,63189
ILML524872GKEGSQ77,S-00008,Wenda,Clackson,De Blasio,1992-11-12,Oaxaca,El Espinal,El Espinal,Green Ridge,050,58240
GQUE702258ININUM57,S-00007,Loni,Stockow,Rillatt,1991-01-07,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Scott,659,55639
FACR116766NNBNKO87,S-00002,Ethe,Venny,Shewry,1977-01-05,Aguascalientes,Palo Alto,Palo Alto,Corry,864,98652
TDYO590577DTDIBT49,S-00015,Cordelie,Laverick,Kelley,1988-06-14,Hidalgo,Pachuca de Soto,Pachuca de Soto,Forest Dale,455,09147
DPCQ128876DAZRPD00,S-00006,Vernor,Lambourn,Piele,1974-03-10,Baja California,Tijuana,Tijuana,Summer Ridge,644,15836
FMKV600826LBVYJE41,S-00014,Kissie,Slyford,Cardello,1991-12-14,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Dryden,230,94259
KTRE507583UUHVYJ67,S-00001,Ricca,Helwig,Blythe,1986-06-10,Distrito Federal,N/A,Churubusco,Walton,689,22895
WGDL969551GQYIUK77,S-00001,Cory,Redihough,Gisburne,1974-11-17,Distrito Federal,N/A,Churubusco,Ridgeview,227,48791
PLKM465234ACGJCL35,S-00010,Kaia,Erington,Addey,1979-02-15,Guerrero,Copala,Copala,Spenser,925,04752
RXXW208839YIZRCO25,S-00003,Bendicty,Ferneyhough,Gunby,1972-03-26,Queretaro,Peñamiller,Peñamiller,Surrey,341,40908
ZRDV236457INOYSA82,S-00012,Star,Assender,Paty,1997-05-18,Morelos,Cuernavaca,Cuernavaca,Atwood,307,07562
FTUM652902XFBLNL09,S-00005,Tracy,Stears,Curmi,1973-06-19,Nuevo Leon,Pesqueria,Pesqueria,Bowman,825,19723
FSCS373362RADSAU98,S-00014,Vonny,Grewar,Reichert,1993-05-13,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Prairie Rose,302,72363
MVYI872627OZRCBP61,S-00010,Goldy,Trever,Heustace,1986-09-29,Guerrero,Copala,Copala,Hovde,930,33542
HMEE624418DIGQHL63,S-00015,Jock,Artindale,Backhouse,1973-11-29,Hidalgo,Pachuca de Soto,Pachuca de Soto,Montana,275,46176
MKFQ262943BDRLVG57,S-00015,Erl,Rickford,Ludewig,1985-11-30,Hidalgo,Pachuca de Soto,Pachuca de Soto,Meadow Valley,922,73200
BZMH738701OKEYYQ56,S-00009,Andrei,Coltman,Ghidelli,1972-09-07,Chihuahua,Juan Aldama,Juan Aldama,Mccormick,666,18611
EOAE106491ZYLCRO58,S-00014,Dosi,Elphick,Singh,1998-10-19,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Farragut,776,85467
QOPG725281TIIMYI13,S-00009,Grannie,McColgan,Wrangle,1982-12-27,Chihuahua,Juan Aldama,Juan Aldama,Amoth,153,06635
LHRR242056WRNTPF35,S-00015,Neala,Tamburi,Grisbrook,1993-11-20,Hidalgo,Pachuca de Soto,Pachuca de Soto,Mesta,636,39085
KOJF786173NINWAB21,S-00007,Saxon,Elkington,Stather,1976-07-16,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Florence,921,24769
MNNV393317OEGZFL48,S-00003,Adelbert,Mettetal,Calvie,1994-02-18,Queretaro,Peñamiller,Peñamiller,Welch,043,82773
JLJU522595EIYUJX79,S-00002,Hayes,Seager,Cansdill,1980-03-08,Aguascalientes,Palo Alto,Palo Alto,Warrior,431,84893
XHRC007795SGDSDZ02,S-00005,Perice,Bellie,Wheadon,1977-10-21,Nuevo Leon,Pesqueria,Pesqueria,Cody,138,57176
SNAT920455SVWNZA06,S-00012,Coraline,Maryon,Lawther,1992-05-11,Morelos,Cuernavaca,Cuernavaca,Kipling,940,90078
WPAR512813DFEKIO08,S-00006,Petey,Barfield,Maffiotti,1994-04-03,Baja California,Tijuana,Tijuana,West,198,00214
WMXB972653LYLZJJ37,S-00001,Gregorio,Klain,Girsch,1989-04-09,Distrito Federal,N/A,Churubusco,Myrtle,867,19908
PBRK771892FDJQOM66,S-00012,Betti,Challin,Ettritch,1990-07-25,Morelos,Cuernavaca,Cuernavaca,Birchwood,551,81836
SLEE740347QTJTSJ64,S-00014,Darb,Gracey,Dunan,1972-05-25,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Barby,841,92583
DEWA802842KPAANZ38,S-00015,Dasha,Bottjer,Myrick,1980-07-18,Hidalgo,Pachuca de Soto,Pachuca de Soto,Elmside,185,02286
KYJD681718OCXEKR78,S-00004,Mahalia,Joreau,Dmitr,1975-10-13,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Melby,028,89080
YABX276968IQDYQG06,S-00011,Grantham,Delyth,Montrose,1994-04-23,Coahuila de Zaragoza,Lamadrid,Lamadrid,Longview,229,30061
RRYS879485OKQRWM72,S-00011,Ammamaria,Godart,Durran,1975-02-26,Coahuila de Zaragoza,Lamadrid,Lamadrid,David,228,35582
HVKO405516HVJNIG13,S-00013,Zilvia,Kits,Demetr,1994-05-29,Campeche,Champoton,Champoton,Fordem,082,15298
DHPV860662NDKTAY41,S-00008,Ibrahim,Kasbye,D'Angeli,1997-07-12,Oaxaca,El Espinal,El Espinal,Macpherson,228,62571
HBOZ716273IIPAJR10,S-00012,Doe,Rawsthorne,Sainte Paul,1978-12-14,Morelos,Cuernavaca,Cuernavaca,Heffernan,737,35624
IIIN802950CVGVNU32,S-00009,Emma,Jowsey,Rowles,1974-06-20,Chihuahua,Juan Aldama,Juan Aldama,Hallows,882,96768
PICZ285999PURRPL22,S-00010,Lanie,Seedman,Wallett,1996-12-13,Guerrero,Copala,Copala,Daystar,128,20040
VSND651738PDONFZ05,S-00010,Rik,Sailor,Bowyer,1983-01-03,Guerrero,Copala,Copala,Thackeray,120,01716
FPTJ219920GQORSL78,S-00011,Colet,Recher,Curless,1985-11-27,Coahuila de Zaragoza,Lamadrid,Lamadrid,Sloan,651,90500
AAWI298129UXAYCD79,S-00004,Donn,Pottell,O' Ronan,1997-06-03,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Ilene,153,06750
OLER090270DIFBXR11,S-00011,Brear,Ruff,Figgins,1990-04-14,Coahuila de Zaragoza,Lamadrid,Lamadrid,Crownhardt,446,52725
GYIQ005316NOHBUT40,S-00004,Kelley,Peter,Milligan,1999-08-28,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Texas,763,48885
OSFP987720CJKNRC30,S-00004,Teresita,Kemmet,Battman,1981-10-13,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Spohn,753,89119
WEEH749727STXCVZ07,S-00002,Sheila-kathryn,Rattenbury,Olijve,1998-10-17,Aguascalientes,Palo Alto,Palo Alto,Jenifer,296,38626
WWRX521219AWUTKA31,S-00013,Pat,Raine,Wallage,1984-05-23,Campeche,Champoton,Champoton,Ohio,445,86733
BOGO634156HXKNUH40,S-00015,Gustaf,Catherine,Essery,1999-11-30,Hidalgo,Pachuca de Soto,Pachuca de Soto,Barby,713,32419
YEBF225714UXMXUH69,S-00005,Nelly,McClinton,Spittle,1999-02-19,Nuevo Leon,Pesqueria,Pesqueria,Vernon,980,80293
YASH866966LGZQGR89,S-00006,Fawne,Evensden,Dutson,1978-08-12,Baja California,Tijuana,Tijuana,Nobel,143,77214
ELEO731794KYAFRQ60,S-00012,Gabbi,Redier,Heakey,1970-07-20,Morelos,Cuernavaca,Cuernavaca,Lawn,031,23991
RMFC461699UVHCYX71,S-00002,Adria,Keefe,Meale,1984-06-24,Aguascalientes,Palo Alto,Palo Alto,Old Gate,079,28516
HVRY670663IWFGLU77,S-00011,Randa,Goaks,Trenoweth,1982-12-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,5th,739,36093
RQTE457143XNPCNR76,S-00014,Roselin,Wrate,Challinor,1978-10-31,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Fordem,597,24158
USEU834355GKLSEO45,S-00009,Andonis,Forbes,Joint,1988-07-10,Chihuahua,Juan Aldama,Juan Aldama,Buena Vista,647,95351
UUNW260203RSYGHH24,S-00011,Ramsay,Hindsberg,Ikin,1992-01-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Mifflin,254,53603
EYBM400504UYXJLR47,S-00002,Ruy,Weaving,Skirvane,1994-04-16,Aguascalientes,Palo Alto,Palo Alto,Gateway,037,86028
FIFE119971OZNFGM13,S-00013,Delmore,Hastwall,Washington,1995-03-09,Campeche,Champoton,Champoton,Lakewood Gardens,799,75522
YTWI769325XZMTIZ26,S-00011,Jordain,Castri,Skakunas,1997-01-19,Coahuila de Zaragoza,Lamadrid,Lamadrid,Glendale,061,42278
XNIX836938RMVGEA25,S-00010,Maitilde,Bergstram,Carruthers,1982-12-20,Guerrero,Copala,Copala,Logan,667,52923
KWEZ611973SVLZUQ08,S-00014,Onfre,Kirkland,McKea,1985-05-03,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Harper,819,99610
LADC057644RSXXOR78,S-00013,Lou,McFfaden,Winchurch,1978-04-23,Campeche,Champoton,Champoton,Arrowood,796,75008
CQBT667846HINXPQ87,S-00007,Dagny,Klimontovich,Orniz,1979-07-31,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Division,156,15254
WCAK344843WIBPCE47,S-00007,Shandee,Wickens,Kalb,1976-08-13,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Steensland,294,94020
YHUH145183LZSPTW35,S-00015,Teddie,Rae,Elgie,1988-03-08,Hidalgo,Pachuca de Soto,Pachuca de Soto,Division,958,36849
IJWA612894RRKXWD31,S-00010,Derrik,Chopin,Vial,1987-04-01,Guerrero,Copala,Copala,Sullivan,316,59576
AABJ474062DRHWJS22,S-00007,Sigismund,Spilling,Piotr,1978-10-04,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Elka,923,77688
BYUJ392805LWNIRP99,S-00010,Ange,Ladbury,Hubbert,1996-03-28,Guerrero,Copala,Copala,Kinsman,376,49262
ELEE114982RTDWAR67,S-00011,May,D'Adamo,Matusson,1984-04-27,Coahuila de Zaragoza,Lamadrid,Lamadrid,Eagan,592,70839
QDDU870736UQJMQG64,S-00001,Hermy,McWhin,Bramall,1998-11-10,Distrito Federal,N/A,Churubusco,Blue Bill Park,883,66686
MXIN935995PVLBOU97,S-00006,Valentin,Hughman,Boteman,1971-12-23,Baja California,Tijuana,Tijuana,Hintze,136,16307
PMWH384284KGGDZH04,S-00010,Aldin,Gregorin,Dacks,1990-01-27,Guerrero,Copala,Copala,Russell,847,37822
GPZE495601RVIPVT39,S-00003,Briggs,Bedrosian,Stark,1994-06-24,Queretaro,Peñamiller,Peñamiller,Novick,872,62298
IIKX988668DZKYXG60,S-00011,Misty,Haseldine,Krauze,1980-08-23,Coahuila de Zaragoza,Lamadrid,Lamadrid,Reindahl,216,38729
BXEY431081TIGGOY61,S-00012,Avie,Jaram,Carsberg,1982-04-11,Morelos,Cuernavaca,Cuernavaca,Granby,052,77149
GPKC019297FLLCZQ10,S-00007,Joseph,Cormode,Petracco,1979-03-19,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Butterfield,925,95283
HRXU004503CBPDVB84,S-00003,Markos,McMurty,Jiricka,1976-10-10,Queretaro,Peñamiller,Peñamiller,Haas,841,83101
LPSG022924YGSAQT64,S-00015,Annnora,Sweynson,Duffin,1999-03-13,Hidalgo,Pachuca de Soto,Pachuca de Soto,Rusk,933,32880
BYTS328350AVNZAS96,S-00001,Shawn,Durnell,Blackstock,1986-04-21,Distrito Federal,N/A,Churubusco,Swallow,076,77739
PKLI646266WIZOKI89,S-00010,Cori,Normanton,Whinney,1992-05-04,Guerrero,Copala,Copala,Center,463,62449
ZZWT583070OAFYXI50,S-00013,Fleurette,Whittet,Gregersen,1976-01-01,Campeche,Champoton,Champoton,Colorado,766,36234
VUIX636739SYOQNI33,S-00007,Helyn,Chilvers,Arbon,2000-03-27,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Kenwood,049,84801
CDST498012ROJFAU85,S-00008,Dannie,Klewer,Starbucke,1995-10-04,Oaxaca,El Espinal,El Espinal,Gulseth,756,58176
ANPV749580BFDNCZ49,S-00011,Hamlin,McCaw,Lukins,1971-11-22,Coahuila de Zaragoza,Lamadrid,Lamadrid,Dwight,066,19843
VNJS263054DQXFTY96,S-00011,Stefania,Alexandre,Ruggier,1988-02-25,Coahuila de Zaragoza,Lamadrid,Lamadrid,Pleasure,354,02109
SMOQ186807RNZDHH20,S-00003,Jamima,Bomfield,Gurys,1981-03-20,Queretaro,Peñamiller,Peñamiller,Melvin,147,44268
YZKZ479759HMLIEP30,S-00012,Joan,Gilliver,Upjohn,1981-09-11,Morelos,Cuernavaca,Cuernavaca,Prairie Rose,876,05749
ZXBN631057MCUMQO43,S-00004,Steven,Faithorn,Vigietti,1971-12-29,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Dexter,674,77525
OIJE352377UGPQNG95,S-00011,Karee,Cape,Fremantle,1997-08-03,Coahuila de Zaragoza,Lamadrid,Lamadrid,Sutteridge,711,73342
HRTM201917PQHBVT01,S-00008,Kristina,Twelvetree,Murrum,1979-09-22,Oaxaca,El Espinal,El Espinal,Utah,462,18538
KJXB320450IZUTAR19,S-00002,Betti,Kendell,Danforth,1980-08-29,Aguascalientes,Palo Alto,Palo Alto,Oriole,669,27783
FTQA406025HYHUSQ95,S-00006,Codie,Spaight,Muston,1997-02-04,Baja California,Tijuana,Tijuana,Village,205,52147
ASHB259554VERMDH69,S-00004,Evy,Cremin,Dreakin,1974-10-03,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Magdeline,292,48451
FJRA897890EVACLR79,S-00014,Emmalee,Guidera,Keaysell,1989-11-30,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Carberry,581,69111
UQFN833376LZFFXN87,S-00003,Arri,Courtes,Melesk,1985-02-21,Queretaro,Peñamiller,Peñamiller,Waywood,270,67743
NATV416799JRAHHG62,S-00004,Fedora,Garton,Godbert,1993-10-13,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Anniversary,529,36287
CZUK446353JEPBXY11,S-00009,Fanchon,Tallyn,Grewe,1988-08-05,Chihuahua,Juan Aldama,Juan Aldama,Blue Bill Park,909,62977
ODNE410861BIIESU05,S-00011,Rosetta,Garey,Triner,1999-05-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Kensington,934,72524
ZBGI756591WWKNUI38,S-00015,Morry,Casajuana,Washington,1972-10-17,Hidalgo,Pachuca de Soto,Pachuca de Soto,Melrose,661,94044
VZSC862449TUVCTQ60,S-00007,Emile,Charlin,Filmer,1982-12-25,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Nova,460,59074
MTEL215351FREPCJ62,S-00008,Benjamin,Gircke,Biffen,1972-01-04,Oaxaca,El Espinal,El Espinal,Little Fleur,198,52806
IXME994196LAJDED30,S-00005,Lemmy,Midgley,Nuscha,2000-02-19,Nuevo Leon,Pesqueria,Pesqueria,Canary,662,51220
UHKK632702ISCVII18,S-00006,Gray,Crossfeld,Tidy,1971-01-31,Baja California,Tijuana,Tijuana,Rockefeller,839,52752
CUXE911444BLMAQK52,S-00004,Langston,Matiewe,Foukx,1980-06-07,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Roxbury,814,62363
TNTV153700ZQKQEN83,S-00009,Celia,Fane,Collumbell,1984-03-08,Chihuahua,Juan Aldama,Juan Aldama,Butternut,208,21408
GQHU025178RNHLNT77,S-00010,Rayna,Berriman,Crowche,1972-03-02,Guerrero,Copala,Copala,Maple Wood,017,08979
XQUX461867EKOGJR28,S-00011,Svend,Sabey,Rosebotham,1976-01-26,Coahuila de Zaragoza,Lamadrid,Lamadrid,Division,632,34988
ZQKX020173NUHWWW49,S-00015,Noby,Battrick,Raun,1992-06-27,Hidalgo,Pachuca de Soto,Pachuca de Soto,Eagan,356,78549
HPMC464154CYTUJC82,S-00003,Didi,Penella,Reef,1999-06-22,Queretaro,Peñamiller,Peñamiller,Maple,841,16234
WGPO823607XXZKDI22,S-00010,Barbe,Lewens,Glasser,1974-07-31,Guerrero,Copala,Copala,Blaine,828,98024
XHYC373690KGMRYF28,S-00005,Teddie,Antonellini,Happel,1972-12-27,Nuevo Leon,Pesqueria,Pesqueria,Fair Oaks,636,30720
GIBM985398XMOLWN10,S-00009,Leisha,Bealing,Feaster,1992-10-24,Chihuahua,Juan Aldama,Juan Aldama,Armistice,495,48456
AAGY426659JMAWMM76,S-00014,Reece,Andell,Haysar,1982-03-29,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Karstens,601,55922
XKNB699542BBJEUC48,S-00004,Catlin,Drowsfield,Giocannoni,1972-12-08,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Mifflin,340,53704
GKUO354846FBCSJG52,S-00009,Isadore,Werrett,Barneveld,1998-08-31,Chihuahua,Juan Aldama,Juan Aldama,Maryland,597,81615
NMUW507931LABDEH17,S-00002,Kelly,Duce,Durkin,1972-12-16,Aguascalientes,Palo Alto,Palo Alto,Springs,899,20534
UCKY460842QWTFXT46,S-00009,Jeremias,Somerbell,Allport,1988-05-19,Chihuahua,Juan Aldama,Juan Aldama,Comanche,832,03760
EKMF681181ZQAEHA59,S-00007,Kirby,Boag,Edelmann,1975-10-09,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Veith,349,60340
RBRC869265RQBQHD20,S-00001,Noah,Pochet,Featherstonhaugh,1973-02-12,Distrito Federal,N/A,Churubusco,Center,952,45834
YHAI726006YTYMOE98,S-00002,Harrison,Bellini,Joule,1995-01-26,Aguascalientes,Palo Alto,Palo Alto,Ilene,767,54924
RNAO037440OEZZIV97,S-00002,Skye,Ruckert,Coverley,1980-01-15,Aguascalientes,Palo Alto,Palo Alto,Sommers,035,68629
MRPN368323MUAUKN01,S-00015,Sean,Brun,Eskrigge,1986-04-06,Hidalgo,Pachuca de Soto,Pachuca de Soto,Lakewood,293,56691
KOWY847838IJKNAO37,S-00009,Yehudit,Willden,Goodhall,1981-05-22,Chihuahua,Juan Aldama,Juan Aldama,Melrose,033,68228
XVZO416253ZPDXMC83,S-00002,Royal,Lorey,Eaglesham,1987-11-23,Aguascalientes,Palo Alto,Palo Alto,Straubel,876,95302
EHHB749090JRLYHE59,S-00012,Cam,Breacher,Bampfield,1973-05-06,Morelos,Cuernavaca,Cuernavaca,Merry,879,24400
JQPC980017YMMRNB89,S-00013,Eydie,Lechmere,Bramwell,1984-09-10,Campeche,Champoton,Champoton,Springview,366,23227
UNFP581518USNTPV08,S-00010,Saba,Risdale,Jerrome,1971-03-27,Guerrero,Copala,Copala,Dottie,279,78546
CGCU188668WDMROP88,S-00011,Aldric,Gullyes,Patinkin,1988-10-29,Coahuila de Zaragoza,Lamadrid,Lamadrid,Judy,636,61681
OPEK578835KFGPOY84,S-00009,Alex,Jovicic,Medcraft,1990-06-02,Chihuahua,Juan Aldama,Juan Aldama,Derek,960,46203
KGMG362489XNCHVS57,S-00014,Tracey,Chapleo,Huyge,1989-04-20,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Jay,307,61553
XWXF690031HAZCAW04,S-00001,Northrop,Wapplington,Cowle,1984-06-11,Distrito Federal,N/A,Churubusco,Jenifer,202,95222
CGQI901154QXMRDS90,S-00001,Teena,Hebborn,Hanbury-Brown,1976-12-27,Distrito Federal,N/A,Churubusco,Schiller,829,38681
QBPL179663IHDOWQ24,S-00012,Dorthea,Orange,MacBean,1973-01-05,Morelos,Cuernavaca,Cuernavaca,Packers,902,95890
HCBD807580IFAGAD78,S-00007,Elijah,Gonzalez,Sciacovelli,1989-08-29,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Ronald Regan,473,59066
JMSK881060FEQUYW41,S-00007,Nelli,Wasteney,Karpman,1988-08-07,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Caliangt,926,35002
AKPL800754BJWAJQ10,S-00002,Dorris,Bushnell,Cockaday,1986-09-13,Aguascalientes,Palo Alto,Palo Alto,Alpine,887,28371
FAYC639710LQAIUX21,S-00010,Salvador,Gomery,Chaffin,1997-08-16,Guerrero,Copala,Copala,Melby,256,11714
OYWQ639122VVHVUH37,S-00006,Vanny,Refford,Sara,1988-04-03,Baja California,Tijuana,Tijuana,Bayside,991,11460
VCDU811861LNYBYA18,S-00002,Bettina,MacAskie,de Almeida,1976-09-26,Aguascalientes,Palo Alto,Palo Alto,Forster,941,32547
CPYL088811RHIACY38,S-00005,Letisha,Berggren,MacGiolla,1970-12-23,Nuevo Leon,Pesqueria,Pesqueria,Meadow Vale,276,53726
PIFD862206TGJHAP87,S-00014,Hobie,Delafont,Shimwell,1980-02-19,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Del Sol,119,95014
CTJE555468VVLUKD80,S-00006,Clarabelle,Duxbury,Elsay,1988-11-29,Baja California,Tijuana,Tijuana,Gulseth,118,35576
TTBY066318OLVYMM88,S-00001,Torre,Ayris,Adshede,1976-05-09,Distrito Federal,N/A,Churubusco,Anzinger,083,44819
BGRN236523XYCQTC99,S-00002,Lucinda,Dennis,Huscroft,1992-10-02,Aguascalientes,Palo Alto,Palo Alto,Maple Wood,358,64303
TNMB135811DPYPRO00,S-00006,Stanislaw,Jays,Hrinchishin,1979-10-23,Baja California,Tijuana,Tijuana,Jenifer,340,26054
LIUI032892QXLSYP15,S-00012,Antoinette,McLewd,Fry,1992-04-20,Morelos,Cuernavaca,Cuernavaca,Blue Bill Park,527,85271
KXLR903895WQDWWG96,S-00005,Sarajane,Gorner,Papaccio,1977-01-19,Nuevo Leon,Pesqueria,Pesqueria,Ridgeview,147,44945
CPXY568224RDYUQR24,S-00004,Carver,Malling,Tomaszynski,1993-06-08,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,East,857,05335
UDIZ740798DAIYNB93,S-00014,Inesita,Maffei,Paxforde,1998-03-01,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Holmberg,961,08057
KWCN779631EPECFQ27,S-00005,Chrysa,Durran,Queste,1978-12-15,Nuevo Leon,Pesqueria,Pesqueria,Cottonwood,506,72077
UKUO933797AIZKXD46,S-00005,Glyn,Gofton,Klich,1999-10-07,Nuevo Leon,Pesqueria,Pesqueria,Ruskin,785,93870
VYHL446273GJWXIX16,S-00005,Delmar,Beelby,todor,1994-10-02,Nuevo Leon,Pesqueria,Pesqueria,Anthes,895,35444
