curpencargado,idsucursal,nombreencargado,paternoencargado,maternoencargado,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
HYMH348006TKTIYI33,S-00002,Susanetta,Buddock,Drains,1970-09-30,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
HWCN002511TFZOPS55,S-00009,Rob,MacNally,Sausman,1998-02-09,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
HUBC390234GKOBXI85,S-00005,Milo,Feron,Chese,1982-11-11,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
NBSQ630676BHOTPF02,S-00003,Maxine,Hackworth,Oherlihy,1980-04-26,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
PTFN419219XBGFIY53,S-00003,Koral,Grandham,Winckles,1999-09-12,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
EAYB640846UWYQGL46,S-00012,Mollie,Serman,Lanfere,1992-10-20,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
KXEZ601658UKNHOG44,S-00008,Rianon,Polye,Glancey,2001-09-22,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
TSBA386299JVZMEP37,S-00008,Elroy,Hannah,Vallery,1979-05-07,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
MDLI242150YLKAVU38,S-00009,Abram,Papps,Matelyunas,1999-09-27,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
JSCT011054USDWTT19,S-00011,Homerus,Rehm,Rozenzweig,1987-12-16,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
VSUN118147IYJBWL52,S-00003,Huntlee,Renault,Doran,1976-04-06,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
SWGE311550KUOPYF82,S-00004,Dalis,Husk,Dugmore,2000-11-01,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
WYZK952193CSETTN34,S-00008,Normy,Treadway,Papes,1978-11-23,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
VHOI319523FUAGVC46,S-00002,Garnet,Grivori,Janiak,1983-08-17,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
YCVO208947KEHBYN93,S-00009,Dore,Christopherson,Gittings,1997-02-19,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
RQIQ664628JLLCLR93,S-00011,Bradley,Huton,Lowne,1972-05-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
HQAA987303BVXRHD97,S-00010,Edna,Du Plantier,M'cowis,1986-09-14,Guerrero,Copala,Copala,5 de Mayo,63,69179
GURI407272WBREOG39,S-00002,Tanny,Kalb,Darcey,1973-08-18,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
HARR452950THNRWP70,S-00006,Care,Climson,Dietmar,2000-01-23,Baja California,Tijuana,Tijuana,Ignacio,52,49282
UMLY961189BMIYVG25,S-00003,Elbertine,Bjorkan,Shurlock,1984-11-23,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
ZZNO585676OCDZOI69,S-00009,Lucais,Stebbings,Lared,1991-12-03,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
NNYP461706GPTQDE60,S-00013,Van,Brunke,Senyard,1998-03-22,Campeche,Champoton,Champoton,Shampoo,53,19183
EESA909639NWTYRL79,S-00012,Jerad,MacCahee,Gaskamp,1986-03-20,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
STBA000512HVNJGA20,S-00001,Leilah,Fitzsimmons,Absalom,1972-03-15,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
UPDK170956SOBLOX83,S-00012,Stanford,Letteresse,Atwood,1974-06-04,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
GOOM965590BCEGWU83,S-00007,Quintilla,Chipping,Felstead,1984-07-16,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
JIGU849776NMAZZB46,S-00015,Lindi,Matelaitis,Feild,1977-02-02,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
SRNZ428041WGUOVM20,S-00006,Rayner,Arrault,Darington,1972-11-01,Baja California,Tijuana,Tijuana,Ignacio,52,49282
VLXH576797SMMBAP80,S-00014,Trixie,Stable,Hanhard,1984-11-02,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
NPIE225601UDKHGO12,S-00012,Erl,Brambill,Normanville,1976-02-13,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
DBMD368461EXWTYT62,S-00005,Vail,Giblin,Cruddace,1989-01-07,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
RBWM202451BAGUZG93,S-00002,Margette,Foulser,Brougham,1984-07-28,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
KZYM127409CWEUBL12,S-00001,Correy,Leynton,Grishunin,1970-09-29,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
EQTF156383RSCGOF05,S-00007,Carmine,Audrey,Cuddehy,1994-12-03,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
MSDQ431695BPJOHV98,S-00006,Mary,Trussman,Abramin,1987-05-18,Baja California,Tijuana,Tijuana,Ignacio,52,49282
HSJW506011DFKZPV28,S-00013,Nixie,Barsam,Pritchard,1980-05-26,Campeche,Champoton,Champoton,Shampoo,53,19183
KVLY010914KOCCTX68,S-00008,Jecho,Jennions,Valsler,1985-02-21,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
JUAL262375SAWPXL75,S-00008,Maynard,Birdfield,Barhims,1995-04-15,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
ZOAV145195MGAIYB13,S-00013,Morgen,Pitkin,Geffen,1977-07-23,Campeche,Champoton,Champoton,Shampoo,53,19183
FVXX685232YOLUEL84,S-00005,Demetri,Petric,MacWhirter,1984-03-28,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
RGOK766237EGMXAQ99,S-00008,Torrey,Whitter,Espadate,1974-06-18,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
NCKL995892UCALOE32,S-00008,Myrlene,Lamswood,Klimentov,1998-10-22,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
GEED841105DTLYPY74,S-00008,Billy,Saggs,MacManus,1980-05-17,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
VGTV669177XROSCA49,S-00003,Clim,Bondar,Heindle,2004-02-23,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
IUVB654702OJENMA08,S-00011,Cob,Grafham,Summersby,1971-07-26,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
GBKE534378OCDCUO27,S-00013,Joanna,Doding,McKoy,1977-12-20,Campeche,Champoton,Champoton,Shampoo,53,19183
ITQL418709DTWHCS99,S-00015,Susy,Marieton,Daldry,1990-12-17,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
AMIU989492JOHFQN25,S-00012,Merline,Bannon,Siege,1996-11-21,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
VMJR007638FOXCTL17,S-00001,Flss,Arnauduc,Colson,1975-10-12,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
OVZI303536PGNRPF36,S-00003,Vale,Vardie,Krugmann,2000-01-17,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
MSHX728196NYIKRF72,S-00005,Gordy,Jacobsohn,Peterken,1997-12-31,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
OEBU762038MZSIOP80,S-00007,Cornelle,Petlyura,Banasevich,1979-02-14,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
ZFMF105343MLJKZM91,S-00015,Ailey,Glastonbury,Wyllis,1998-02-20,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
RHPL036730ISCXQL60,S-00011,Eldin,Hamlin,Campe,1971-08-07,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
HMYM714368YAOORH48,S-00003,Westbrook,Melloi,Rogers,2004-02-02,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
UCDL306258BYZPCC20,S-00008,Christophorus,Tinmouth,Benny,1988-12-18,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
FWZS078698LBGUSV58,S-00003,Shea,Akett,Plester,1985-01-02,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
FZET480296LZBBDP77,S-00003,Shelden,Doumenc,Scatcher,1995-12-13,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
ERPN472987HUUTEH72,S-00007,Chalmers,Coats,Iredale,1993-06-25,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
MSRC196965ENGOJY06,S-00010,Gery,Locksley,Rappa,1993-06-12,Guerrero,Copala,Copala,5 de Mayo,63,69179
GRMD828432LALERB63,S-00012,Rubi,Heitz,Baudesson,1990-09-27,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
NQPC973850MTELIW27,S-00013,Karim,Maddocks,Ewbach,1987-02-23,Campeche,Champoton,Champoton,Shampoo,53,19183
TXCR193911QCSSWP88,S-00005,Terrill,Feronet,Asey,2003-05-06,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
URXZ231857TRRAPW51,S-00014,Emmett,Biaggiotti,Wringe,1982-11-28,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
CWDD704118ZMLSHK17,S-00013,Clair,Tilio,Maddocks,1982-11-09,Campeche,Champoton,Champoton,Shampoo,53,19183
OPWJ739629FFSDQS37,S-00010,Sunny,Gookey,Strivens,1987-01-14,Guerrero,Copala,Copala,5 de Mayo,63,69179
QAAE887724TGZHHA20,S-00011,Neala,Barthram,Brocklesby,1999-01-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
URCW027149EKVTYX56,S-00013,Pincas,Izacenko,Losel,1993-01-13,Campeche,Champoton,Champoton,Shampoo,53,19183
EDFT912770MEZDKS39,S-00013,Zsazsa,Hamby,Almond,1994-11-22,Campeche,Champoton,Champoton,Shampoo,53,19183
PEYA474841KOAVGY98,S-00004,Marcia,Whiteford,Worthington,1976-05-31,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
SXCG151844KMPHRR98,S-00010,Joseph,Izac,Spreag,1991-03-03,Guerrero,Copala,Copala,5 de Mayo,63,69179
NQSM117588CXPMPW68,S-00002,Gabriela,Mealiffe,Thebe,1987-04-21,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
TDSF196974LTCSKQ48,S-00010,Imogen,Gardiner,Farnworth,2000-11-28,Guerrero,Copala,Copala,5 de Mayo,63,69179
AERZ753048EWHDHP11,S-00010,Yuri,De Lorenzo,Klaggeman,1985-01-04,Guerrero,Copala,Copala,5 de Mayo,63,69179
VDPR294377RRJHGW73,S-00009,Hermia,Armer,Davidzon,1978-12-27,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
VUAY928571WPRMHH46,S-00014,Kasper,Elverston,Mace,1995-01-03,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
YVCL721165AOXCJB38,S-00015,Maurine,Burburough,Attenbrow,1992-06-02,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
URAQ040894BOJUCL98,S-00005,Hillie,Caesar,Shury,1983-12-04,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
RGSP543984VDATIS69,S-00002,Elianore,Oliphard,Housaman,1997-08-14,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
JVJD633728ZYWSDA99,S-00001,Neille,Warre,Tenney,1984-12-26,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
QGQT951190EHEAHU27,S-00008,Gilberto,Marcone,Mallatratt,2000-01-06,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
WDNN504608QTOSHM26,S-00008,Keenan,Bygreaves,Priditt,1994-04-24,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
JQKO159481HBCPYM29,S-00004,Amabel,Del Dello,Scully,1999-03-27,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
GBGM425900VWYNJB66,S-00009,Ronica,Payne,Channon,1996-10-14,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
NQIY578835HECUWR80,S-00007,Sonny,Magson,Hasted,1996-01-06,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
NQCO204916EEHWWN88,S-00006,Minnie,Fuggle,Penhalurick,1997-08-10,Baja California,Tijuana,Tijuana,Ignacio,52,49282
ZWNA258405SQKUCV23,S-00013,Deva,Henstridge,Osant,1994-05-21,Campeche,Champoton,Champoton,Shampoo,53,19183
HGCA140077CGSHNA87,S-00009,Cam,Grannell,Jagiela,2003-02-03,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
CTWS180278CJQNZI48,S-00014,Jules,Josowitz,Elkin,1979-01-17,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
PWYU654846RAREIO15,S-00007,Karoly,Armsden,Boskell,1992-01-31,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
QVJK225407TFGHZL67,S-00012,Xenia,Esp,Bettley,2000-04-18,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
DGSM407267VIQQMO34,S-00009,Luelle,O'Dempsey,Hinz,1973-06-05,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
IIYF989130SDBKJO71,S-00011,Barbara,Longhorn,Furnell,1991-04-06,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
IYPK104614KWLHIV92,S-00002,Marv,Castellino,Greally,1997-04-18,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
JXTP380309KNCCGP40,S-00002,Kimmie,Huson,Cashford,1984-04-07,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
WRAY292125JDDYTE57,S-00008,Lonnie,Treeby,Ernke,2001-09-02,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
WTQR279807CKPFKH01,S-00008,Roddy,Nock,Magenny,1984-11-08,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
VLSA463345XNKINI86,S-00013,Traci,Meenehan,Campagne,1973-05-03,Campeche,Champoton,Champoton,Shampoo,53,19183
HFME777840LNCTSM11,S-00001,Maxy,Skupinski,O'Hallagan,1970-07-16,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
LGKK515939UAEUZM82,S-00008,Darleen,Hane,Yarrall,1972-12-12,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
XZXL988390YSSTJB44,S-00004,Chadd,Kimmince,Child,1998-10-31,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
SGKQ657412ADRIIN56,S-00013,Fabe,Wudeland,Eyer,1974-06-03,Campeche,Champoton,Champoton,Shampoo,53,19183
TQLI372543AXKJOH25,S-00014,Jesselyn,Norris,Frampton,1980-08-09,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
FDPH545499KOAOVR41,S-00013,Burr,Hartup,Roubeix,1976-02-03,Campeche,Champoton,Champoton,Shampoo,53,19183
PIGO184705ZKBKUD61,S-00005,Rodge,Gilhespy,Reisenstein,1971-01-28,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
ANDC143298GKSURO59,S-00001,Bella,Spelman,Isaksson,1992-06-05,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
SNUK565169RXMBWI76,S-00005,Norrie,Vasilchenko,Lemon,1976-03-10,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
CTAA908645UNMNHW48,S-00014,Sampson,Eagar,Worgen,1994-10-02,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
JCDV585901EGXTIM72,S-00005,Theodosia,Dugall,Abrashkov,1981-10-31,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
JVSI624987MPAFWA41,S-00001,Lavinia,Greiser,Paffot,1989-09-06,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
KNSO131700ACBDQT29,S-00010,Kakalina,Biernacki,Link,1999-08-13,Guerrero,Copala,Copala,5 de Mayo,63,69179
VYIW240310VBHWVR95,S-00010,Ange,Bruty,Lessmare,1985-05-08,Guerrero,Copala,Copala,5 de Mayo,63,69179
SMIB411638SJAKEJ96,S-00013,Jennilee,Titcomb,Strachan,1978-03-21,Campeche,Champoton,Champoton,Shampoo,53,19183
SSBF051457HPVVPZ17,S-00010,Peyter,Gooderick,Sparrowhawk,1985-02-27,Guerrero,Copala,Copala,5 de Mayo,63,69179
TNIJ748980GRZVGM22,S-00013,Brigitta,Brundale,MacGruer,1986-06-22,Campeche,Champoton,Champoton,Shampoo,53,19183
TRFX978459REHJIQ58,S-00014,Roderigo,Pfeifer,Smitten,1984-03-18,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
VSSD211173LOQTJH86,S-00004,Janaye,Gallihawk,Romanin,1983-11-02,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
CRAP345738NCDLVB96,S-00006,Flo,Abrahamsohn,Albrook,1996-11-19,Baja California,Tijuana,Tijuana,Ignacio,52,49282
DIHI599140XKDUOK02,S-00010,Pierre,Eagger,Belton,1995-06-12,Guerrero,Copala,Copala,5 de Mayo,63,69179
KUAS824540CQMZDS56,S-00011,Marilee,Soame,Dunabie,1999-09-06,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
RQJA419720NJGQYK82,S-00003,Caprice,Leipold,Carnihan,2000-04-11,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
ZAKU379501AZCXDH45,S-00006,Dyann,Taphouse,Gabel,1982-11-21,Baja California,Tijuana,Tijuana,Ignacio,52,49282
KMPU630813BBYQJJ19,S-00001,Doris,Gibberd,Klaaassen,1979-08-09,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
WLVI716762LDBNHQ92,S-00009,Emery,Frazer,Hindge,2002-12-30,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
MLND427842BEEAPD55,S-00015,Katha,Antonijevic,Sorrill,1992-04-18,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
EXYM917705YFAMZD24,S-00011,Krispin,Kirkwood,Bucklan,1979-05-06,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
DSZR382962CEOGBJ59,S-00002,Caspar,Moro,Gillicuddy,1978-01-19,Aguascalientes,Palo Alto,Palo Alto,Aguasfrias,49,94040
ZFGK896309MWVPOC40,S-00011,Jemimah,Manifould,Bream,1977-08-21,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
CZJN033912TZEBPN19,S-00001,Marlowe,Capozzi,Jantel,1971-09-17,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
THJU385353PEVCDH97,S-00004,Gib,Ghioni,Ebbutt,1998-12-23,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
URKD422436FYERIY23,S-00004,Alessandro,Lambis,McGlew,1989-05-31,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
YLVS765368XJWKOR03,S-00013,Angelo,Jedrych,Belliveau,1974-02-07,Campeche,Champoton,Champoton,Shampoo,53,19183
GSQH324934YVCBSJ78,S-00011,Giovanna,Bruyet,Vondracek,1974-04-25,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
QWTZ346485PDDCXE35,S-00015,Tomaso,Pressnell,Depper,1972-11-17,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
TOVH994509WNOVOH72,S-00011,Darelle,Klass,Settle,1990-06-22,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
VPTX470798NWLWUZ05,S-00013,Annice,Dogg,Hallwell,1985-11-19,Campeche,Champoton,Champoton,Shampoo,53,19183
CGXO452429MTXISM26,S-00001,Crystie,Rapo,Valentinetti,1984-03-28,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
ZALY804687HKQPQG31,S-00009,Molli,Gansbuhler,Greenig,1984-12-06,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
RLMH708022KNLBTZ62,S-00008,Abel,Krollman,Sanbrook,1988-07-06,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
LCTE898885ZXVGEP31,S-00001,Preston,Sprouls,Shemelt,1985-09-26,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
UVVX941201YUAUPP14,S-00009,Casi,Bastie,Karim,1989-08-31,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
IEPX024038WGBUMX60,S-00007,Aleen,Wiz,McVeagh,1996-09-01,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
MZKM635054KOYEJG09,S-00013,Hastings,Barbrick,Estrella,1979-01-11,Campeche,Champoton,Champoton,Shampoo,53,19183
AHAO407128HETNMG89,S-00010,Barbe,Geaney,Navarijo,1987-08-16,Guerrero,Copala,Copala,5 de Mayo,63,69179
VQZH308954JRNLCB81,S-00009,Emmery,Scrivin,Petroulis,1992-02-29,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
CRJJ436107ONVMLN75,S-00012,Rickie,De Wolfe,Calendar,1995-03-08,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
TTDV976694UUXRLL22,S-00013,Raymund,Craggs,Ambrogetti,1979-04-26,Campeche,Champoton,Champoton,Shampoo,53,19183
LTPD986803TVWXGZ09,S-00001,Dewitt,Blakeslee,Jeves,1997-07-06,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
RMZV561328NAJPSV89,S-00007,Orton,Marshal,Deelay,1984-04-09,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
JVLW457462MFSUIZ05,S-00014,Gwyneth,Akast,Risely,1989-05-15,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
RZRN634828BREQGC82,S-00003,Clovis,Surfleet,Jiruch,2001-12-28,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
INHD474385QAMKBZ52,S-00003,Deb,D'Andrea,Hadaway,1973-12-22,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
UTHZ563332KXQNAN28,S-00004,Gaylord,Belhome,Hewell,1978-07-01,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
YQWJ431959BQUUAX28,S-00003,Tressa,Cleobury,Muxworthy,1974-08-25,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
FLBI313363DRORLB29,S-00003,Ransom,Gerrard,Russe,1975-01-10,Queretaro,Peñamiller,Peñamiller,Zapata,10,83963
GWNB628315BDKNAA12,S-00005,Deanne,Seiler,Giacobo,1985-06-18,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
UXWT219021KQKZSE62,S-00001,Whitney,Schruur,Peat,2000-05-01,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
DUYN694761HIBRQP23,S-00007,Dillon,Buzek,Vallerine,1972-04-02,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
TFFC833548LIBEUP87,S-00014,Peirce,Farnin,Pyper,1979-10-31,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
PZXD828546UDAFON87,S-00013,Homerus,Nealand,Loughran,1980-11-03,Campeche,Champoton,Champoton,Shampoo,53,19183
CTDJ739535QKHCJT78,S-00014,Marylee,Turton,Chew,1981-06-04,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
SYYX827376QBZDWK36,S-00007,Terry,O'Meara,Maidstone,1987-11-13,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Villa,8,92837
VSGU133173ONTKTZ35,S-00014,Patrizio,Mintram,Jachimak,1972-06-01,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
FSRG570403WJANLU32,S-00009,Cordelia,Crackett,McNellis,1986-12-19,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
WPGW974885FVOOJH15,S-00001,Laverne,Duxbarry,Brands,1970-12-03,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
NNRW051210GMXIKO40,S-00004,Murvyn,Foote,Swalwel,1983-07-27,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
WVIB735990JTAMBH72,S-00015,Jenny,Tales,Elven,1989-06-20,Hidalgo,Pachuca de Soto,Pachuca de Soto,Queso Cubano,19,21912
EPEN969818FNTLII70,S-00011,Gasper,Hollington,Crebo,1978-09-16,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
TECV979106LBWYDG83,S-00005,Pietrek,Carruthers,Bauman,1973-02-06,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
FFOI875511DPUCIL71,S-00008,Juliann,De la croix,Tunno,1982-01-24,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
VKHM446936FIULTX89,S-00004,Annabel,Greated,Wasteney,2001-03-08,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Santa Tuna,87,73187
LGTM730768HUWBQY58,S-00013,Mimi,Oxbrough,Whitcombe,1986-04-04,Campeche,Champoton,Champoton,Shampoo,53,19183
QZAR747054HSLDMA28,S-00011,Hanson,Tutchell,Winteringham,2000-02-22,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
PKWC560367KFZBWV16,S-00009,Beth,Garrioch,Boman,1995-07-24,Chihuahua,Juan Aldama,Juan Aldama,Jose Vasconcelos,34,48173
NTMC669176AWVYSK40,S-00011,Luigi,Feehan,Marzelo,1974-03-30,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
DRMV157507RIECYW34,S-00010,Duff,Gregory,Docwra,1981-09-23,Guerrero,Copala,Copala,5 de Mayo,63,69179
LHOV213873SNAURU62,S-00014,Gran,Teideman,Blackader,1979-03-08,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Xbox,123,59173
QRYB205359MJKBQR11,S-00011,Creighton,Khan,Hymus,1985-10-09,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
OYHZ827728EWCIXC60,S-00005,Tilly,Woolager,Ladley,1982-12-29,Nuevo Leon,Pesqueria,Pesqueria,Trucha,13,02741
VAKQ767474EUDRAP27,S-00011,Estella,D'Enrico,Zellner,1995-02-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Ejercito Insurgente,93,02717
FSMH155195AOPZNX33,S-00008,Berti,Ingarfield,Vassano,1978-06-02,Oaxaca,El Espinal,El Espinal,Iturbide,48,49617
VSEZ049222ATJBPB64,S-00012,Carroll,Mort,Bartlomiejczyk,2004-02-09,Morelos,Cuernavaca,Cuernavaca,Santo Domingo,7,07381
DLXS157620AWVDWA44,S-00001,Tremayne,Cawston,Curmi,1971-12-11,Distrito Federal,N/A,Churubusco,Rafael Oliva,32,04120
